timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
2021-04-27T17:00:59Z,25-34,Social Work,Program Manager,Non profit sector,63000,,CAD,,NA,Canada,NA,Rural Alberta,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:01:04Z,25-34,Education (Higher Education),Program Coordinator,NA,46000,,USD,,NA,United States,Minnesota,Minneapolis,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:01:08Z,under 18,Health care,Intern,NA,29120,,USD,,NA,U.S.,Massachusetts,Boston,2 - 4 years,2 - 4 years,High School,Woman,Asian or Asian American
2021-04-27T17:01:16Z,35-44,Computing or Tech,Data Scientist,NA,150000,,USD,,NA,USA,Maryland,Laurel,8 - 10 years,2 - 4 years,PhD,Woman,White
2021-04-27T17:01:19Z,45-54,library,Librarian,NA,66000,,USD,,NA,USA,California,Decline,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:01:19Z,25-34,Education (Higher Education),IT Specialist,NA,55000,,USD,,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Non-binary,White
2021-04-27T17:01:20Z,25-34,Education (Higher Education),Assistant Director of Study Abroad,NA,65000,,USD,,NA,USA,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:01:30Z,25-34,Nonprofits,Director of Engagement,NA,65000,,USD,,NA,US,New Jersey,Cherry Hill,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:01:31Z,45-54,Business or Consulting,Account Executive,NA,170000,,USD,,NA,US,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:01:33Z,35-44,Manufacturing,Executive Assistant to President,NA,52000,,USD,,NA,Usa,Utah,Salt Lake City,21 - 30 years,5-7 years,High School,Woman,White
2021-04-27T17:01:37Z,35-44,Education (Higher Education),Library Assistant IV,NA,45000,,USD,,NA,United States,California,Irvine,11 - 20 years,8 - 10 years,Master's degree,Man,White
2021-04-27T17:01:41Z,25-34,Business or Consulting,junior analyst,NA,25000,,GBP,,NA,UK,NA,York,5-7 years,1 year or less,College degree,Non-binary,White
2021-04-27T17:01:54Z,45-54,Education (Higher Education),Project Manager/Research Scientist,NA,95000,,USD,,NA,usa,Connecticut,New Haven,31 - 40 years,8 - 10 years,PhD,Other or prefer not to answer,Another option not listed here or prefer not to answer
2021-04-27T17:01:58Z,35-44,"Marketing, Advertising & PR",Digital Marketing Consultant,NA,208000,,USD,,NA,USA,Pennsylvania,Philadelphia (but clients everywhere),11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:02:02Z,35-44,Computing or Tech,Software Development Lead,NA,1,,USD,,NA,USA,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Man,White
2021-04-27T17:02:09Z,45-54,Computing or Tech,"Senior Manager, Strategic Communications",I facilitate the flow of information within my organization and from my organization to the larger enterprise we are a part of.,130000,,USD,,I also get stock options.,United States,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:02:13Z,45-54,Retail,Scanning Coordinator,NA,28080,,USD,,NA,USA,Michigan,Ishpeming,21 - 30 years,21 - 30 years,High School,Woman,White
2021-04-27T17:02:13Z,18-24,"Marketing, Advertising & PR",Director of Happenings,I work for a small business so I essentially do everything except major finance and cut hair. HR and Social Media are the bulk of my job.,35500,,USD,,NA,United States of America,Illinois,Batavia,2 - 4 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:02:35Z,35-44,Library,Library service representative,"Not a librarian, but a university degree (any kind) is required for this position.",60000,,CAD,,"I earn $30 an hour, 21 hours a week. Max work week is 35 hours, or 39 if you work Sundays.",Canada,NA,Windsor Ontario,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:02:40Z,35-44,Engineering or Manufacturing,Materials lab technician,NA,55000,,USD,,NA,US,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T17:02:40Z,25-34,Computing or Tech,Finance Associate,NA,95000,,USD,,NA,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
2021-04-27T17:02:40Z,45-54,Museum,Curator,NA,56000,,USD,,NA,USA,Virginia,Richmond,21 - 30 years,11 - 20 years,PhD,Woman,White
2021-04-27T17:02:43Z,35-44,"Marketing, Advertising & PR",Senior Account Manager,"Works with national sales team on media plans and strategy, leads the execution of approved plans, handles client services",75000,,USD,,NA,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:02:56Z,35-44,Computing or Tech,Product Manager,NA,80000,,USD,,NA,USA,Michigan,Troy,11 - 20 years,1 year or less,Master's degree,Woman,White
2021-04-27T17:02:58Z,45-54,Insurance,Claims specialist,NA,60000,,USD,,NA,United States,Washington,Arlington,21 - 30 years,21 - 30 years,Some college,Woman,White
2021-04-27T17:02:59Z,25-34,Computing or Tech,PA to director,Personal assistant to director,35000,,GBP,,NA,UK,NA,Bedford,11 - 20 years,5-7 years,High School,Woman,Asian or Asian American
2021-04-27T17:03:00Z,25-34,Government and Public Administration,General Engineer,Engineering in large government programs,102000,,USD,,NA,USA,Virginia,Arlington,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:03:02Z,25-34,Nonprofits,Supporter Operations,NA,51500,,AUD/NZD,,NA,Australia,NA,Sydney,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:03:18Z,35-44,Engineering or Manufacturing,Associate Product Manager,NA,89000,,USD,,NA,United States,Missouri,Kansas City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:03:24Z,35-44,Government and Public Administration,Grant writer,NA,65000,,USD,,NA,United States,Washington,Olympia,11 - 20 years,11 - 20 years,Master's degree,Woman,"Native American or Alaska Native, White"
2021-04-27T17:03:29Z,25-34,Education (Higher Education),Administrative Assistant,NA,53000,,USD,,NA,USA,Florida,Gainesville,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:03:33Z,45-54,Nonprofits,Executive Director,NA,110000,,USD,,NA,USA,Massachusetts,Newton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:03:44Z,25-34,Nonprofits,Research and Data Analyst,NA,60000,,USD,,NA,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
2021-04-27T17:03:45Z,45-54,Nonprofits,Leased Housing,NA,27000,,USD,,"I live and work in WV. It's a poor, rural state",Usa,West Virginia,Charleston,31 - 40 years,1 year or less,College degree,Woman,White
2021-04-27T17:03:48Z,25-34,Computing or Tech,quality assurance engineer,NA,90000,,USD,,NA,usa,California,los angeles,5-7 years,2 - 4 years,College degree,NA,Asian or Asian American
2021-04-27T17:04:01Z,25-34,Computing or Tech,Software Engineer,NA,150000,,USD,,It changes (increases) significantly year over year,US,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:25Z,35-44,Publishing (academic),Indexer,I create indexes for academic monographs,52000,,USD,,That’s what I would get if I worked full-time; I freelance when I can gigs,United States,Michigan,Ypsilanti,11 - 20 years,2 - 4 years,PhD,Woman,White
2021-04-27T17:04:39Z,45-54,Hospitality & Events,Job Title,NA,150000,,USD,,NA,USA,Colorado,City,21 - 30 years,21 - 30 years,Some college,Man,White
2021-04-27T17:04:43Z,25-34,Engineering or Manufacturing,Senior Project Engineer,Civil Engineer working in site development,108160,,USD,,NA,US,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:04:52Z,25-34,"Accounting, Banking & Finance",Relationship Manager,Commercial Banking,135000,,USD,,NA,United States,Arizona,Phoenix,5-7 years,5-7 years,College degree,Other or prefer not to answer,White
2021-04-27T17:04:54Z,25-34,"Marketing, Advertising & PR",Data visualization developer,NA,88000,,USD,,NA,USA,California,"Portland, OR",8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:00Z,25-34,"Accounting, Banking & Finance",Director - Data Operations,NA,113000,,USD,,NA,USA,Virginia,Alexandria,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:00Z,35-44,"Marketing, Advertising & PR",Communications Lead,NA,120000,,CAD,,"I’m incorporated so I have to file my own taxes and do my own deductions, pay for benefits  etc at my expense",Canada,NA,"Kitimat, BC",21 - 30 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:01Z,25-34,Business or Consulting,Consultant,NA,130000,,USD,,NA,USA,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,"Black or African American, White"
2021-04-27T17:05:24Z,25-34,"Marketing, Advertising & PR",Engagement Strategist,Digital strategy for pharmaceutical advertising,142000,,USD,,NA,USA,New York,New York City,8 - 10 years,5-7 years,College degree,Non-binary,White
2021-04-27T17:05:27Z,25-34,"Accounting, Banking & Finance",Customer service representative,NA,47500,,USD,,NA,United States of America,Colorado,Denver,5-7 years,1 year or less,College degree,Woman,White
2021-04-27T17:05:27Z,45-54,Government and Public Administration,Director of HR,NA,140000,,USD,,NA,US,New York,New York,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:36Z,25-34,Computing or Tech,Senior Software Engineer,NA,125000,,USD,,NA,USA,Massachusetts,Marlborough,8 - 10 years,8 - 10 years,Master's degree,Man,White
2021-04-27T17:05:40Z,35-44,Business or Consulting,Global Project Manager,NA,74000,,USD,,NA,USA,Virginia,D.C.,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:41Z,25-34,Education (Higher Education),Philanthropic Advisor,NA,102500,,USD,,NA,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:46Z,35-44,Nonprofits,Business Development Manager,NA,72000,,USD,,NA,US,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:05:47Z,25-34,Education (Higher Education),Complex Coordinator,"Master's level, full-time live-on staff member in a college residence hall",36000,,USD,,NA,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Non-binary,White
2021-04-27T17:05:54Z,55-64,Media & Digital,Managing editor,NA,105000,,USD,,NA,USA,District of Columbia,DC,31 - 40 years,31 - 40 years,College degree,Other or prefer not to answer,White
2021-04-27T17:06:00Z,25-34,Computing or Tech,Operations Associate,NA,42000,,USD,,NA,US,California,Sunnyvale,11 - 20 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:06:33Z,35-44,Nonprofits,Director,NA,104000,,USD,,NA,USA,New York,Buffalo,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:06:38Z,25-34,Agriculture or Forestry,Agronomist,NA,66851,,AUD/NZD,,NA,Australia,NA,Victoria,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:06:48Z,25-34,Labor Union,Organizer,I organize people within a union to advocate for legislative and electoral change,63000,,USD,,NA,USA,Washington,Seattle,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:07:04Z,35-44,Nonprofits,Program Manager,NA,56000,,USD,,NA,Us,Colorado,Denver,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:07:06Z,35-44,"Marketing, Advertising & PR",Commercial Marketing Manager,Marketing Manager for Commercial Real Estate firm,72000,,USD,,NA,USA,New Jersey,Piscataway,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:07:12Z,55-64,Professional Public Librarian,Reference Services,NA,34500,,USD,,NA,United States,Mississippi,Cleveland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:07:14Z,35-44,Government and Public Administration,Web Developer,NA,100000,,USD,,NA,United States,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:07:16Z,25-34,"Leisure, Sport & Tourism",Associate editor,I write and edit travel content,51200,,USD,,NA,USA,Florida,Lake Mary,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:07:20Z,35-44,Education (Higher Education),medical librarian,NA,75000,,USD,,NA,US,Connecticut,Connecticut,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:07:20Z,35-44,Nonprofits,Director,NA,100000,,USD,,"I technically have ""two jobs"", in that I run a major coalition/program that is housed at our non-profit, as well as serve in the director role for the organization",United States,Minnesota,St. Paul,8 - 10 years,5-7 years,College degree,Woman,"Black or African American, White"
2021-04-27T17:07:25Z,25-34,Education (Primary/Secondary),Library Media Specialist,Basically a certified school librarian (with masters),52386,,USD,,NA,united states,Maryland,Indian Head,1 year or less,1 year or less,Master's degree,Woman,White
2021-04-27T17:07:30Z,55-64,"Cancer research, not for profit",Administrative Coordinator,NA,71700,,USD,,NA,USA,Washington,Seattle,31 - 40 years,11 - 20 years,Some college,Woman,White
2021-04-27T17:07:31Z,55-64,Retail,Visual Merchandising Manager,Military Retailer,67000,,USD,,NA,USA,Virginia,Norfolk,31 - 40 years,21 - 30 years,Some college,Woman,White
2021-04-27T17:07:35Z,45-54,Engineering or Manufacturing,Distribution Manager,NA,65000,,USD,,NA,USA,Arizona,Tempe,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:07:48Z,25-34,Insurance,Quality Review and Audit Sr. Analyst,NA,54000,,USD,,NA,USA,Ohio,Remote,8 - 10 years,8 - 10 years,College degree,Man,White
2021-04-27T17:08:01Z,25-34,Education (Higher Education),Assistant Professor,At a public Research 1 university,89000,,USD,,"It's a 9-month salary. I can earn more in the summer if I get grants, but I haven't been able to yet.",United States,Pennsylvania,State College,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T17:08:07Z,35-44,Law,Associate Attorney,NA,112000,,USD,,NA,USA,Massachusetts,Springfield,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T17:08:09Z,45-54,Engineering or Manufacturing,Tech Writer,NA,75000,,USD,,NA,US,Utah,Salt Lake City,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:08:12Z,45-54,Computing or Tech,IT billing analyst,NA,40000,,USD,,NA,US,Utah,Logan,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T17:08:16Z,25-34,Computing or Tech,cloud operations engineer,"comparable to  ""dev ops engineer"" or ""infrastructure engineer""",74000,,USD,,NA,United States,Oregon,Portland,8 - 10 years,5-7 years,Some college,Woman,White
2021-04-27T17:08:31Z,45-54,Health care,Lead Medical Technologist,NA,64000,,USD,,NA,USS,Michigan,Hancock,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:08:35Z,25-34,Law,Associate,NA,165000,,USD,,"Monthly hours bonus ($1,000 for over 125 hrs billed in a month, increasing in $500 intervals for every additional 5 hrs billed)",USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T17:08:41Z,25-34,Recruitment or HR,HRM,NA,57700,,USD,,NA,USA,California,French Camp,5-7 years,2 - 4 years,Master's degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
2021-04-27T17:08:48Z,25-34,Education (Higher Education),Campus Career Center Manager,NA,52798,,USD,,NA,United States,Texas,Allen,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:08:48Z,18-24,"Accounting, Banking & Finance",Associate,Technology Strategy / Business Analyst / Junior Consultant,65000,,CAD,,NA,Canada,NA,Toronto,1 year or less,1 year or less,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T17:09:05Z,65 or over,Computing or Tech,Operations Data Analyst,NA,120000,,USD,,NA,US,Washington,Seattle,31 - 40 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:09:07Z,65 or over,Law,Paralegal,NA,52000,,USD,,NA,USA,West Virginia,Wheeling,41 years or more,31 - 40 years,College degree,Woman,White
2021-04-27T17:09:19Z,35-44,Art & Design,Media Designer,NA,78000,,USD,,NA,usa,Texas,lewisville,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T17:09:20Z,25-34,Wholesale Trade,Sales Support,NA,50000,,USD,,NA,US,New York,Inwood,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:09:22Z,25-34,Nonprofits,Librarian,NA,48850,,USD,,NA,United States,Wisconsin,Milwaukee,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:09:24Z,25-34,Nonprofits,Director of Development,(fundraising),75100,,USD,,NA,USA,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Man,White
2021-04-27T17:09:27Z,35-44,Government and Public Administration,Library Director,NA,86000,,USD,,NA,USA,Massachusetts,Anonymous,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T17:09:31Z,25-34,Education (Higher Education),Undergraduate and graduate assistant,NA,60000,,CAD,,NA,Canada,NA,Toronto,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
2021-04-27T17:09:42Z,25-34,Property or Construction,Landscape lighting installer/general laborer,"Owner is an electrician who focuses on outdoor lighting, so I work on all sorts of electrical stuff",35880,,USD,,Hours vary with season and weather,United States,Iowa,Des Moines metro,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:09:45Z,35-44,Media & Digital,Senior Producer,NA,98500,,USD,,NA,US,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:09:45Z,45-54,Computing or Tech,Accountant,NA,78800,,USD,,NA,USA,Illinois,Itasca,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:09:56Z,45-54,"Accounting, Banking & Finance",Financial Planner,Also manage investments,180000,,USD,,NA,United States,California,Los Angeles,21 - 30 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:10:08Z,25-34,Law,Patent assistant,NA,80000,,USD,,NA,US,"California, Oklahoma","San Jose, CA and Tulsa, OK",8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:10:09Z,35-44,Government and Public Administration,Program Research Specialist,Statistical analysis and response to data inquiries about government programs.,92000,,USD,,NA,USA,New York,Albany,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:10:18Z,25-34,"Marketing, Advertising & PR",Marketing Manager,NA,40000,,USD,,NA,USA,Louisiana,Lafayette,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:10:20Z,35-44,Nonprofits,Development director,NA,45000,,USD,,NA,U.S.,Iowa,Council Bluffs,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:10:21Z,35-44,Education (Higher Education),Assistant Professor,NA,115000,,USD,,NA,United States,North Carolina,Chapel Hill,8 - 10 years,5-7 years,PhD,Woman,White
2021-04-27T17:10:28Z,35-44,Computing or Tech,Analyst/Technical Account Manager,NA,80000,,USD,,NA,US,New York,New York,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T17:10:34Z,25-34,Health care,Medical Transcriptionist,NA,54000,,AUD/NZD,,NA,New Zealand,NA,Christchurch,5-7 years,5-7 years,College degree,Non-binary,White
2021-04-27T17:10:42Z,25-34,Computing or Tech,Vice President Infrastructure,NA,125000,,USD,,NA,USA,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:11:05Z,25-34,Education (Primary/Secondary),Kindergarten Assistant,NA,28000,,USD,,NA,United States,Kentucky,Louisville,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:11:09Z,35-44,Property or Construction,Project Manager,Legal Ops & Compliance,52000,,EUR,,NA,Ireland,NA,Dublin,11 - 20 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:11:19Z,18-24,Law Enforcement & Security,Prison Officer,NA,25000,,GBP,,NA,England,NA,Manchester,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:11:22Z,35-44,Property or Construction,Asset manager,NA,78000,,CAD,,NA,Canada,NA,"St John's, NL",11 - 20 years,2 - 4 years,Some college,Man,White
2021-04-27T17:11:25Z,35-44,Nonprofits,Assistant Director,"There are many people with VP, Senior VP, Director, level titles.",66000,,USD,,NA,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:11:42Z,18-24,Health care,IRB Analyst II,IRB = Institutional Review Board (human research ethics committee),62000,,USD,,NA,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:11:49Z,45-54,Science publishing,Scientific Editor,Perhaps comparable to Executive Editor,103000,,USD,,NA,USA,Colorado,Boulder,11 - 20 years,11 - 20 years,PhD,Woman,White
2021-04-27T17:11:51Z,25-34,Nonprofits,Communications Director,NA,48000,,USD,,NA,United States,California,Orange County,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:11:51Z,55-64,Insurance,Executive Assistant,NA,74000,,USD,,NA,USA,Wisconsin,Northcentral WI,31 - 40 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:12:04Z,25-34,Engineering or Manufacturing,Office Manager,NA,60000,,USD,,NA,United States,Tennessee,Knoxville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:12:06Z,25-34,Retail,Produce Manager,NA,52000,,USD,,NA,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T17:12:18Z,45-54,Law,Legal Assistant,Overlaps with a lot of paralegal duties,65000,,USD,,NA,USA,Massachusetts,Worcester,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:12:21Z,35-44,Nonprofits,Ceo,NA,165000,,CAD,,NA,Canada,NA,Dartmouth,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T17:12:28Z,25-34,Media & Digital,Writer,NA,45000,,EUR,,NA,Germany,NA,Germany,11 - 20 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:12:44Z,25-34,Architecture,"Senior Associate, registered architect",NA,96000,,AUD/NZD,,"Pre-tax income, excl superannuation",Australia,NA,Melbourne,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:12:49Z,35-44,Education (Higher Education),Head of Access and Widening Participation,"I manage a team of 30, running access programmes to support disadvantaged students into higher education",60000,,GBP,,NA,UK,NA,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:13:10Z,25-34,Engineering or Manufacturing,Manufacturing Engineer,NA,110000,,USD,,NA,United States,California,Alameda,5-7 years,2 - 4 years,College degree,Man,White
2021-04-27T17:13:53Z,35-44,Archives,Archivist,NA,40322,,GBP,,"Before tax, pension and National Insurance",England,NA,York,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T17:13:57Z,35-44,Government and Public Administration,Deputy Executive Director,NA,136000,,USD,,NA,United States,California,Sacramento,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:14:09Z,25-34,Nonprofits,Associate Editor,NA,46500,,USD,,NA,USA,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:14:36Z,25-34,Law,inhouse legal counsel,NA,115000,,AUD/NZD,,NA,New Zealand,NA,New Plymouth,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:14:43Z,35-44,Computing or Tech,Chief Marketing Officer,NA,90000,,EUR,,NA,Belgium,NA,Antwerp,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:14:44Z,35-44,Health care,Clinical Counselor,NA,55000,,USD,,Self-employed,US,Maine,Augusta,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:14:50Z,45-54,Engineering or Manufacturing,Director of Administrative Services,Essentially CFO,120000,,USD,,NA,USA,Oregon,portland,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:15:10Z,35-44,Art & Design,Space Plan Consultant,Project Design Lead,829500,,Other,,NA,Denmark,NA,Copenhagen,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:15:13Z,45-54,Computing or Tech,IT Director,NA,145000,,CAD,,NA,Canada,NA,Kitchener,21 - 30 years,21 - 30 years,High School,Man,White
2021-04-27T17:15:17Z,25-34,"Marketing, Advertising & PR",Social Media Manager,NA,70000,,USD,,NA,US,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:15:20Z,25-34,Property or Construction,Administrative Services Coordinator,Catch all Admin support across multiple offices,52000,,USD,,NA,USA,Minnesota,Edina - Minneapolis,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T17:15:23Z,25-34,Education (Higher Education),Assistant Professor,NA,102500,,CAD,,NA,Canada,NA,Toronto,5-7 years,5-7 years,PhD,Woman,"White, Another option not listed here or prefer not to answer"
2021-04-27T17:15:44Z,35-44,Engineering or Manufacturing,Senior Software Engineer,NA,130000,,USD,,NA,United States,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T17:15:47Z,35-44,NA,Veterinarian,NA,50000,,USD,,NA,USA,Missouri,"St. Louis, MO",5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T17:15:51Z,35-44,Government and Public Administration,Senior GIS Analyst,NA,75000,,CAD,,NA,Canada,NA,British Columbia,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:16:08Z,25-34,Nonprofits,Programs coordinator,NA,24000,,EUR,,NA,Belgium,NA,Brussels,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:16:10Z,35-44,Engineering or Manufacturing,Quality Assurance Specialist,NA,41912,,USD,,NA,USA,Colorado,Denver,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:16:13Z,45-54,"Accounting, Banking & Finance",Project Manager,business side (non-tech),82500,,USD,,NA,United States,Delaware,Wilmington,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:16:15Z,25-34,Computing or Tech,Software Engineer,NA,160000,,USD,,NA,USA,Washington,Seattle,5-7 years,5-7 years,Master's degree,Man,White
2021-04-27T17:16:27Z,25-34,"Accounting, Banking & Finance",Accountant,NA,74000,,USD,,NA,United States,Pennsylvania,Allentown,2 - 4 years,2 - 4 years,College degree,Woman,NA
2021-04-27T17:16:27Z,25-34,Computing or Tech,Business Operations Manager,NA,70000,,USD,,NA,USA,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:16:34Z,25-34,"Marketing, Advertising & PR",Senior Marketing Manager,NA,65000,,USD,,NA,Uniteed States,Texas,Dallas,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:16:40Z,35-44,Government and Public Administration,Adult Services Librarian,NA,30000,,USD,,NA,United States,Iowa,N/a,11 - 20 years,5-7 years,PhD,Woman,White
2021-04-27T17:16:45Z,35-44,Retail,Customer advisor,NA,20000,,GBP,,Lots of over time available,UK,NA,Cambridge,8 - 10 years,2 - 4 years,High School,Man,White
2021-04-27T17:16:46Z,25-34,Law Enforcement & Security,Dispatcher,911 operator as well,70000,,USD,,NA,USA,Virginia,Leesburg,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:16:49Z,25-34,Education (Higher Education),Graduate Student Instructor (as a PhD candidate),NA,34140,,USD,,NA,USA,New York,New York City,5-7 years,2 - 4 years,PhD,Woman,White
2021-04-27T17:17:00Z,45-54,Engineering or Manufacturing,Controls Engineer,NA,103000,,USD,,NA,USA,Iowa,Mt Pleasant,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T17:17:14Z,25-34,Health care,Chiropractic Assistant,NA,29120,,USD,,NA,United States,North Dakota,Fargo,8 - 10 years,2 - 4 years,Some college,Woman,White
